model,dataset,macro_f1,micro_f1
Qwen/Qwen3Guard-Gen-8B,toxicchat_jailbreaking_classification,0.5700936769820381,0.8693684831792249
Qwen/Qwen3Guard-Gen-8B,toxicchat_safe_unsafe_classification,0.5700936769820381,0.8693684831792249
Qwen/Qwen3Guard-Gen-8B,toxicchat_toxicity_classification,0.7977088899164142,0.9211095809561283
Qwen/Qwen3Guard-Gen-8B,wildguard_prompt_safety,0.9094650423597974,0.9111241907004121
Qwen/Qwen3Guard-Gen-8B,wildguard_response_safety,0.6926239106665718,0.7559976594499708
ToxicityPrompts/PolyGuard-Qwen,aegis_prompt_safety,0.8379381243903259,0.840122199592668
ToxicityPrompts/PolyGuard-Qwen,aegis_response_safety,0.858547729456174,0.8585485854858549
ToxicityPrompts/PolyGuard-Qwen,jbb_behaviors_safety,0.64349376114082,0.68
ToxicityPrompts/PolyGuard-Qwen,med_safety_bench_safe_unsafe,0.548357895091959,0.6033333333333334
ToxicityPrompts/PolyGuard-Qwen,oai_safety,0.7277095258038997,0.7536423841059603
ToxicityPrompts/PolyGuard-Qwen,polyguard_prompt_safety,0.9073330206338475,0.9099744245524297
ToxicityPrompts/PolyGuard-Qwen,polyguard_response_safety,0.8731626104285353,0.9263070939317799
ToxicityPrompts/PolyGuard-Qwen,saferlhf_response_safety,0.8601305543124427,0.863938120470187
ToxicityPrompts/PolyGuard-Qwen,toxicchat_jailbreaking_classification,0.5844506818778304,0.8896321070234113
ToxicityPrompts/PolyGuard-Qwen,toxicchat_safe_unsafe_classification,0.5846640519213709,0.8898288412354909
ToxicityPrompts/PolyGuard-Qwen,toxicchat_toxicity_classification,0.8237365603189764,0.9376352547708047
ToxicityPrompts/PolyGuard-Qwen,wildguard_prompt_safety,0.9028539763662803,0.9046497939964685
ToxicityPrompts/PolyGuard-Qwen,wildguard_response_safety,0.8734755329374473,0.930368636629608
ToxicityPrompts/PolyGuard-Qwen-Smol,aegis_prompt_safety,0.8278061504065932,0.8289205702647657
ToxicityPrompts/PolyGuard-Qwen-Smol,aegis_response_safety,0.8422660910898774,0.8425584255842559
ToxicityPrompts/PolyGuard-Qwen-Smol,jbb_behaviors_safety,0.6459785374488329,0.68
ToxicityPrompts/PolyGuard-Qwen-Smol,med_safety_bench_safe_unsafe,0.47961441827187057,0.5366666666666666
ToxicityPrompts/PolyGuard-Qwen-Smol,oai_safety,0.6791017422363639,0.7112582781456953
ToxicityPrompts/PolyGuard-Qwen-Smol,polyguard_prompt_safety,0.8740049213429877,0.878226768968457
ToxicityPrompts/PolyGuard-Qwen-Smol,polyguard_response_safety,0.824921567688907,0.898599111967783
ToxicityPrompts/PolyGuard-Qwen-Smol,saferlhf_response_safety,0.8293436958135013,0.831353919239905
ToxicityPrompts/PolyGuard-Qwen-Smol,toxicchat_jailbreaking_classification,0.578640607264572,0.8841235490851859
ToxicityPrompts/PolyGuard-Qwen-Smol,toxicchat_safe_unsafe_classification,0.5782160860945909,0.8847137517214243
ToxicityPrompts/PolyGuard-Qwen-Smol,toxicchat_toxicity_classification,0.8113721576004198,0.9315364941963408
ToxicityPrompts/PolyGuard-Qwen-Smol,wildguard_prompt_safety,0.8899831392190964,0.8922895821071218
ToxicityPrompts/PolyGuard-Qwen-Smol,wildguard_response_safety,0.8526143307707471,0.9180807489760093
allenai/wildguard,jbb_behaviors_safety,0.7583018074821354,0.77
allenai/wildguard,med_safety_bench_safe_unsafe,0.780204563335956,0.7844444444444445
allenai/wildguard,toxicchat_jailbreaking_classification,0.5712816874067033,0.8884517017509345
allenai/wildguard,toxicchat_safe_unsafe_classification,0.5712816874067033,0.8884517017509345
allenai/wildguard,toxicchat_toxicity_classification,0.8128823172505801,0.9346842415896124
fastino/gliguard-LLMGuardrails-300M,aegis_categories,0.2496272306123974,0.367955286446204
fastino/gliguard-LLMGuardrails-300M,aegis_prompt_safety,0.8161243229519296,0.8197556008146639
fastino/gliguard-LLMGuardrails-300M,aegis_response_safety,0.7659999272868292,0.7662976629766297
fastino/gliguard-LLMGuardrails-300M,beavertails,0.23174619201724686,0.3712780086542993
fastino/gliguard-LLMGuardrails-300M,harmbench_prompts,0.211085646379764,0.21348314606741572
fastino/gliguard-LLMGuardrails-300M,harmbench_responses,0.18642635505380603,0.25882352941176473
fastino/gliguard-LLMGuardrails-300M,oai,0.43094779727851384,0.4683002722676002
fastino/gliguard-LLMGuardrails-300M,oai_safety,0.6399223933060167,0.6887417218543046
fastino/gliguard-LLMGuardrails-300M,polyguard_prompt_safety,0.82901409620369,0.8326342710997442
fastino/gliguard-LLMGuardrails-300M,saferlhf,0.3613666524471696,0.5014829030006979
fastino/gliguard-LLMGuardrails-300M,saferlhf_response_safety,0.7476245757376447,0.7619221633473415
fastino/gliguard-LLMGuardrails-300M,simplesafetytests,0.6838217338217338,0.743455497382199
fastino/gliguard-LLMGuardrails-300M,simplest,0.7635807467386415,0.7755102040816326
fastino/gliguard-LLMGuardrails-300M,wildguard_prompt_safety,0.8727616013838859,0.8746321365509123
fastino/gliguard-LLMGuardrails-300M,wildguard_prompt_subcategory,0.3868137534805633,0.6346708628376606
fastino/gliguard-LLMGuardrails-300M,wildguard_response_refusal,0.5952138355566342,0.6171897917277794
fastino/gliguard-LLMGuardrails-300M,wildguard_response_safety,0.6412678421494542,0.6968987712112347
fastino/gliguard-LLMGuardrails-300M,xstest,0.8334999999999999,0.8355555555555556
hivetrace/gliner-guard-omni,aegis_categories,0.22885859545366555,0.22753346080305928
